Data_Value,TractFIPS
19.9,17031600900
20.0,17031610300
18.0,17031610400
23.0,17031610800
14.1,17031611000
17.3,17031611100
17.4,17031611200
19.6,17031611300
18.7,17031611400
17.9,17031611500
15.7,17031611600
16.9,17031611700
13.9,17031611800
15.6,17031611900
13.8,17031612000
14.4,17031612100
20.3,17031620100
22.0,17031620200
21.2,17031620300
21.5,17031620400
17.9,17031630100
19.9,17031630200
20.2,17031630300
19.7,17031630400
19.6,17031630500
19.9,17031630800
20.0,17031630900
22.9,17031640100
23.2,17031640300
22.4,17031640400
22.8,17031640500
20.7,17031640600
22.0,17031640700
22.0,17031640800
21.6,17031650100
21.7,17031650200
22.2,17031650301
21.8,17031650302
20.0,17031650400
19.1,17031650500
17.1,17031660301
20.1,17031660302
20.3,17031660400
19.2,17031660500
17.4,17031660600
14.4,17031660700
17.0,17031660800
14.8,17031660900
15.5,17031661000
19.0,17031661100
14.2,17031670100
13.6,17031670200
14.0,17031670300
14.2,17031670400
15.1,17031670500
14.0,17031670600
13.1,17031670700
12.8,17031670800
15.1,17031670900
12.6,17031671100
12.6,17031671200
13.8,17031671300
14.8,17031671400
12.6,17031671500
13.2,17031671600
12.9,17031671800
14.0,17031671900
14.7,17031672000
12.5,17031680500
13.0,17031680600
12.3,17031680900
13.0,17031681000
13.2,17031681100
13.9,17031681200
13.2,17031681300
13.0,17031681400
11.7,17031690300
13.9,17031690400
14.1,17031690500
13.9,17031690900
14.1,17031691000
13.3,17031691100
14.3,17031691200
14.1,17031691300
14.4,17031691400
12.2,17031691500
18.7,17031700100
20.7,17031700200
20.8,17031700301
20.7,17031700302
20.5,17031700401
19.5,17031700402
17.7,17031700501
15.8,17031700502
13.3,17031710100
12.7,17031710200
13.0,17031710300
14.1,17031710400
13.6,17031710500
13.8,17031710600
14.5,17031710700
15.6,17031710800
12.9,17031710900
13.7,17031711000
13.3,17031711100
13.2,17031711200
13.8,17031711300
12.8,17031711400
13.6,17031711500
19.6,17031720100
19.0,17031720200
21.0,17031720300
25.0,17031720400
24.4,17031720500
21.8,17031720600
19.3,17031720700
13.3,17031730100
14.0,17031730201
13.5,17031730202
15.3,17031730300
13.7,17031730400
15.0,17031730500
14.6,17031730600
14.2,17031730700
25.4,17031740100
24.6,17031740200
25.8,17031740300
24.4,17031740400
14.0,17031750100
17.8,17031750200
23.6,17031750300
22.5,17031750400
14.6,17031750500
13.8,17031750600
22.8,17031760801
17.0,17031760802
21.7,17031760803
,17031770602
30.2,17031770902
21.3,17031810400
,17031821402
,17031823304
21.0,17031830500
22.0,17031830600
20.7,17031830700
28.6,17031830800
27.1,17031830900
31.2,17031831000
22.1,17031831100
20.2,17031831200
17.6,17031831300
15.8,17031831400
22.1,17031831500
19.7,17031831600
22.0,17031831700
21.0,17031831800
31.3,17031831900
31.5,17031832000
28.3,17031832100
30.0,17031832200
29.5,17031832300
26.3,17031832400
25.2,17031832500
30.1,17031832600
23.7,17031832900
27.9,17031833000
26.7,17031833100
21.3,17031833300
15.4,17031833900
13.9,17031834000
14.0,17031834200
14.1,17031834300
15.5,17031834400
14.3,17031834500
12.6,17031834600
12.5,17031834700
13.0,17031834800
12.2,17031834900
15.6,17031835000
18.9,17031835100
20.7,17031835200
12.7,17031835500
13.7,17031835600
16.4,17031835800
12.9,17031835900
16.4,17031836000
16.4,17031836100
29.5,17031836200
19.9,17031836300
14.8,17031836400
14.0,17031836500
19.4,17031836600
15.2,17031836700
13.5,17031836800
15.4,17031836900
14.5,17031837000
15.1,17031837100
16.3,17031837300
16.0,17031837400
19.4,17031837800
14.3,17031838000
15.9,17031838100
22.1,17031838200
18.9,17031838300
14.3,17031838600
13.6,17031838700
15.1,17031838800
26.2,17031839000
27.9,17031839100
15.0,17031839200
13.0,17031839500
12.7,17031839600
19.6,17031839700
19.9,17031839800
22.7,17031839900
19.5,17031840000
13.9,17031840100
14.7,17031840200
18.6,17031840300
16.4,17031840400
19.4,17031840700
19.7,17031840800
17.0,17031841000
8.8,17031841100
19.4,17031841200
19.6,17031841300
14.2,17031841400
13.6,17031841500
13.2,17031841600
12.3,17031841700
14.9,17031841800
26.3,17031841900
24.4,17031842000
16.5,17031842100
23.5,17031842200
25.8,17031842300
13.5,17031842400
12.5,17031842500
20.1,17031842600
20.4,17031842800
13.7,17031842900
12.5,17031843000
14.3,17031843100
20.8,17031843200
15.9,17031843300
15.2,17031843400
23.6,17031843500
14.3,17031843600
25.4,17031843700
15.2,17031843800
13.6,17031843900
20.6,17031813301
21.1,17031813302
20.6,17031813400
21.9,17031813500
20.5,17031813600
21.2,17031813701
20.4,17031813702
20.7,17031813801
20.9,17031813802
20.3,17031813900
22.3,17031814000
20.3,17031814100
21.0,17031814200
20.4,17031814300
21.5,17031814400
20.5,17031814500
15.0,17115000200
14.4,17115000300
14.7,17115000400
17.4,17115000500
13.8,17115000600
14.5,17115000900
17.0,17115001000
18.9,17115001100
17.2,17115001200
18.9,17115001300
18.5,17115001400
18.1,17115001500
25.3,17115001600
18.1,17115001700
18.8,17115001801
17.6,17115001802
15.3,17115001900
13.0,17115002000
17.9,17115002100
18.5,17115002200
18.8,17115002300
17.6,17115002401
17.5,17115002402
17.2,17115002601
20.6,17115002901
17.3,17115002902
18.1,17115002903
16.1,17115002904
14.4,17115003100
22.0,17031804311
20.5,17031804403
22.1,17031804404
20.6,17031804405
22.5,17031804406
24.7,17031804507
,17089850500
19.3,17089850600
21.6,17089850701
21.4,17089850800
21.3,17089851000
21.7,17089851101
19.6,17089851102
20.1,17089851301
20.2,17089851302
20.5,17089851400
21.1,17089851500
18.8,17089851600
,17089851801
19.0,17089851904
20.9,17089851905
23.5,17089851907
21.6,17089851908
19.6,17089851909
19.0,17089851910
,17089852401
20.0,17089854600
19.7,17089854900
26.6,17031808702
23.2,17031808800
20.0,17031808900
17.6,17031809000
19.9,17031809100
17.9,17031809200
21.3,17031809300
21.2,17031809400
22.7,17031809500
19.2,17031809600
20.5,17031809700
23.2,17031809800
23.3,17031809900
23.5,17031810000
23.5,17031810100
20.9,17031810200
18.9,17031810301
19.3,17031810302
23.8,17093890700
24.7,17197880412
21.9,17197880414
23.2,17197880415
24.9,17197880416
24.3,17197880417
25.3,17197880418
24.8,17197880419
25.3,17197880420
26.1,17197881108
15.8,17197881200
18.2,17197881301
19.6,17197881302
19.3,17197881401
20.5,17197881402
19.0,17197881500
19.8,17197881601
20.3,17197881603
19.5,17197881604
20.6,17197881700
21.5,17197881800
16.4,17197881900
17.5,17197882000
18.7,17197882100
19.9,17197882200
20.5,17197882300
17.0,17197882400
14.3,17197882500
21.6,17197882601
18.1,17197882602
20.8,17197882701
20.4,17197882702
16.8,17197882801
15.4,17197882802
21.7,17197882900
11.8,17197883000
15.1,17197883100
20.5,17197883206
16.8,17197883208
21.5,17197883209
17.0,17197883210
24.8,17197883211
20.1,17197883214
25.6,17197883215
,17197883306
25.8,17197883307
,17043842601
24.7,17043846103
20.6,17043846104
20.9,17043846105
19.8,17043846106
20.3,17043846201
18.4,17043846202
17.4,17043846203
19.3,17043846205
20.5,17043846206
20.7,17043846207
18.8,17043846208
21.5,17043846209
17.5,17043846304
19.1,17043846404
16.9,17043846405
22.2,17043846410
25.4,17043846411
19.9,17043846412
18.3,17043846413
19.1,17043846504
20.5,17043846519
20.4,17043846521
20.7,17043846522
19.9,17043846523
19.2,17043846524
20.6,17197880118
20.6,17197880119
22.3,17197880303
22.0,17197880304
22.3,17197880305
19.6,17197880306
20.6,17197880307
22.3,17197880308
21.7,17197880309
20.6,17197880310
20.4,17197880312
25.5,17031803017
23.2,17031803603
22.1,17031803604
21.0,17031803605
21.2,17031803606
22.7,17031803607
25.4,17031803608
23.5,17031803610
22.6,17031803611
24.0,17031803701
22.9,17031803702
23.2,17031803800
19.0,17031803901
21.2,17031804102
19.9,17031804106
13.3,17143000100
15.5,17143000200
15.9,17143000300
13.0,17143000500
13.9,17143000600
10.3,17143000900
17.5,17143001200
15.2,17143001300
17.1,17143001500
16.8,17143001600
20.8,17143001800
24.3,17143001900
26.4,17143002000
15.7,17143002100
20.7,17143002200
19.8,17143002300
21.3,17143002400
17.9,17143002500
20.3,17143002600
15.7,17143002701
15.8,17143002702
18.8,17143002800
17.9,17143002900
18.3,17143003000
20.3,17143003101
20.4,17143003102
18.7,17143003200
14.7,17143003300
20.3,17143003401
19.5,17143003402
24.0,17143003900
20.4,17143004101
15.2,17143004102
,17143004200
17.8,17143004400
19.1,17143004802
12.8,17143005000
18.4,17201000401
16.0,17201000402
15.1,17201000403
18.1,17201000501
17.6,17201000502
17.5,17201000504
17.5,17201000506
20.0,17201000507
19.8,17201000510
19.5,17201000511
18.2,17201000512
13.5,17201000513
,17201000514
19.0,17201000600
20.7,17201000700
19.6,17201000800
14.7,17201001000
13.5,17201001100
16.0,17201001200
18.2,17201001300
19.3,17201001400
18.5,17201001500
18.6,17201001600
19.7,17201001700
16.5,17201001800
17.8,17201001900
16.6,17201002000
13.4,17201002100
15.1,17201002200
16.4,17201002301
,17201002302
14.0,17201002400
13.3,17201002500
16.6,17201002600
15.3,17201002700
14.4,17201002800
11.4,17201002900
21.3,17201003000
17.3,17201003100
13.8,17201003200
17.2,17201003300
19.0,17201003400
21.3,17201003500
25.4,17201003601
14.9,17201003602
16.7,17201003604
11.3,17201003605
16.8,17201003606
21.8,17201003706
20.4,17201003707
19.1,17201003708
18.6,17201003709
24.4,17201003710
22.2,17201003711
22.4,17201003801
,17201980000
22.9,17031804102
24.4,17031804108
21.0,17031804308
23.5,17031804603
21.4,17031804606
20.7,17031804608
20.0,17031804609
19.5,17031804610
20.8,17031804611
19.9,17031804706
4.4,17031804709
22.1,17031804710
21.0,17031804711
22.7,17031804712
25.0,17031804713
28.6,17031804714
16.6,17031804715
19.1,17031804716
23.2,17031804803
22.4,17031804804
21.5,17031804805
,17031804806
22.4,17031804807
21.1,17031804808
22.3,17031804809
19.7,17031804810
17.8,17167000100
19.2,17167000201
18.0,17167000202
16.2,17167000300
19.8,17167000400
18.8,17167000501
19.3,17167000503
19.5,17167000504
16.5,17167000600
18.8,17167000700
15.1,17167000800
15.5,17167000900
15.8,17167001001
18.3,17167001003
19.5,17167001004
17.9,17167001100
21.2,17167001200
17.7,17167001300
18.6,17167001400
11.3,17167001500
12.3,17167001600
13.0,17167001700
19.7,17167001800
19.5,17167001900
15.6,17167002000
19.9,17167002100
20.8,17167002200
15.9,17167002300
14.5,17167002400
17.2,17167002500
19.0,17167002600
19.9,17167002700
20.0,17167002801
20.6,17167002802
18.0,17167002900
21.4,17167003000
20.5,17167003100
17.9,17167003201
,17167003203
17.0,17167003602
19.6,17167003603
18.8,17167003604
22.4,17167003801
21.8,17167003901
20.6,17097860400
19.7,17097860600
18.2,17097861504
19.5,17097861506
,17097861507
17.9,17097861603
17.8,17097861701
18.2,17097861702
18.7,17097861803
17.4,17097861804
18.1,17097861901
17.9,17097861902
18.4,17097862000
17.8,17097862100
19.9,17097862200
14.3,17097862300
16.5,17097862401
16.7,17097862402
19.3,17097862501
16.0,17097862502
17.5,17097862603
18.7,17097862604
14.0,17097862605
15.7,17097862700
19.9,17097863601
15.6,17097866100
